"total size","ECM","necrosis","tick","fiber"
12804.0,3621.0,0.0,1.0,9183.0
12816.0,3642.0,2749.0,2.0,6425.0
12816.0,3658.0,2733.0,3.0,6425.0
12816.0,3671.0,2721.0,4.0,6424.0
12815.0,3708.0,2684.0,5.0,6423.0
12815.0,3727.0,2665.0,6.0,6423.0
12814.0,3768.0,2627.0,7.0,6419.0
12813.0,3813.0,2582.0,8.0,6418.0
12809.0,3839.0,2555.0,9.0,6415.0
12806.0,3911.0,2489.0,10.0,6406.0
12804.0,3959.0,2447.0,11.0,6398.0
12799.0,4028.0,2379.0,12.0,6392.0
12796.0,4079.0,2335.0,13.0,6382.0
12793.0,4155.0,2266.0,14.0,6372.0
12786.0,4206.0,2216.0,15.0,6364.0
12784.0,4291.0,2142.0,16.0,6351.0
12778.0,4379.0,2059.0,17.0,6340.0
12767.0,4448.0,1992.0,18.0,6327.0
12762.0,4530.0,1918.0,19.0,6314.0
12758.0,4601.0,1852.0,20.0,6305.0
12752.0,4686.0,1772.0,21.0,6294.0
12740.0,4762.0,1693.0,22.0,6285.0
12728.0,4821.0,1633.0,23.0,6274.0
12719.0,4902.0,1555.0,24.0,6262.0
12710.0,4959.0,1499.0,25.0,6252.0
12733.0,5087.0,1402.0,26.0,6244.0
12720.0,5132.0,1353.0,27.0,6235.0
12708.0,5231.0,1256.0,28.0,6221.0
12693.0,5271.0,1215.0,29.0,6207.0
12674.0,5334.0,1146.0,30.0,6194.0
12662.0,5383.0,1103.0,31.0,6176.0
12643.0,5441.0,1037.0,32.0,6165.0
12625.0,5471.0,996.0,33.0,6158.0
12618.0,5544.0,925.0,34.0,6149.0
12604.0,5587.0,883.0,35.0,6134.0
12596.0,5660.0,812.0,36.0,6124.0
12587.0,5698.0,780.0,37.0,6109.0
12576.0,5769.0,713.0,38.0,6094.0
12564.0,5812.0,667.0,39.0,6085.0
12555.0,5864.0,618.0,40.0,6073.0
12540.0,5899.0,581.0,41.0,6060.0
12528.0,5954.0,534.0,42.0,6040.0
12516.0,5985.0,505.0,43.0,6026.0
12503.0,6033.0,463.0,44.0,6007.0
12488.0,6069.0,429.0,45.0,5990.0
12473.0,6106.0,386.0,46.0,5981.0
12455.0,6130.0,355.0,47.0,5970.0
12439.0,6174.0,308.0,48.0,5957.0
12418.0,6185.0,287.0,49.0,5946.0
12481.0,6301.0,244.0,50.0,5936.0
12470.0,6315.0,233.0,51.0,5922.0
12455.0,6346.0,198.0,52.0,5911.0
12439.0,6361.0,188.0,53.0,5890.0
12426.0,6391.0,161.0,54.0,5874.0
12404.0,6396.0,150.0,55.0,5858.0
12386.0,6411.0,126.0,56.0,5849.0
12374.0,6423.0,114.0,57.0,5837.0
12355.0,6432.0,94.0,58.0,5829.0
12341.0,6444.0,78.0,59.0,5819.0
12326.0,6450.0,73.0,60.0,5803.0
12314.0,6461.0,61.0,61.0,5792.0
12297.0,6466.0,52.0,62.0,5779.0
12281.0,6473.0,41.0,63.0,5767.0
12264.0,6469.0,34.0,64.0,5761.0
12249.0,6467.0,26.0,65.0,5756.0
12231.0,6459.0,22.0,66.0,5750.0
12213.0,6454.0,17.0,67.0,5742.0
12198.0,6447.0,14.0,68.0,5737.0
12175.0,6432.0,11.0,69.0,5732.0
12160.0,6423.0,9.0,70.0,5728.0
12140.0,6407.0,9.0,71.0,5724.0
12125.0,6400.0,5.0,72.0,5720.0
12109.0,6388.0,4.0,73.0,5717.0
12153.0,6436.0,3.0,74.0,5714.0
12141.0,6427.0,1.0,75.0,5713.0
12129.0,6419.0,0.0,76.0,5710.0
12117.0,6407.0,0.0,77.0,5710.0
12106.0,6396.0,0.0,78.0,5710.0
12101.0,6392.0,0.0,79.0,5709.0
12087.0,6378.0,0.0,80.0,5709.0
12072.0,6364.0,0.0,81.0,5708.0
12059.0,6354.0,0.0,82.0,5705.0
12053.0,6347.0,0.0,83.0,5706.0
12037.0,6332.0,0.0,84.0,5705.0
12019.0,6314.0,0.0,85.0,5705.0
12003.0,6298.0,0.0,86.0,5705.0
11991.0,6289.0,0.0,87.0,5702.0
11979.0,6277.0,0.0,88.0,5702.0
11971.0,6269.0,0.0,89.0,5702.0
11954.0,6252.0,0.0,90.0,5702.0
11947.0,6246.0,0.0,91.0,5701.0
11940.0,6239.0,0.0,92.0,5701.0
11930.0,6227.0,0.0,93.0,5703.0
11918.0,6213.0,0.0,94.0,5705.0
11905.0,6201.0,0.0,95.0,5704.0
11898.0,6193.0,0.0,96.0,5705.0
11884.0,6179.0,0.0,97.0,5705.0
11927.0,6220.0,0.0,98.0,5707.0
11914.0,6207.0,0.0,99.0,5707.0
11909.0,6202.0,0.0,100.0,5707.0
11895.0,6188.0,0.0,101.0,5707.0
11884.0,6177.0,0.0,102.0,5707.0
11867.0,6162.0,0.0,103.0,5705.0
11857.0,6154.0,0.0,104.0,5703.0
11851.0,6146.0,0.0,105.0,5705.0
11840.0,6133.0,0.0,106.0,5707.0
11834.0,6124.0,0.0,107.0,5710.0
11826.0,6115.0,0.0,108.0,5711.0
11816.0,6106.0,0.0,109.0,5710.0
11810.0,6099.0,0.0,110.0,5711.0
11802.0,6092.0,0.0,111.0,5710.0
11792.0,6083.0,0.0,112.0,5709.0
11784.0,6076.0,0.0,113.0,5708.0
11783.0,6072.0,0.0,114.0,5711.0
11779.0,6068.0,0.0,115.0,5711.0
11776.0,6064.0,0.0,116.0,5712.0
11771.0,6058.0,0.0,117.0,5713.0
11766.0,6051.0,0.0,118.0,5715.0
11757.0,6041.0,0.0,119.0,5716.0
11754.0,6038.0,0.0,120.0,5716.0
11752.0,6034.0,0.0,121.0,5718.0
11791.0,6072.0,0.0,122.0,5719.0
11785.0,6066.0,0.0,123.0,5719.0
11778.0,6054.0,0.0,124.0,5724.0
11776.0,6051.0,0.0,125.0,5725.0
11772.0,6043.0,0.0,126.0,5729.0
11768.0,6038.0,0.0,127.0,5730.0
11764.0,6032.0,0.0,128.0,5732.0
11759.0,6025.0,0.0,129.0,5734.0
11748.0,6013.0,0.0,130.0,5735.0
11747.0,6010.0,0.0,131.0,5737.0
11746.0,6004.0,0.0,132.0,5742.0
11741.0,5995.0,0.0,133.0,5746.0
11739.0,5992.0,0.0,134.0,5747.0
11735.0,5986.0,0.0,135.0,5749.0
11733.0,5981.0,0.0,136.0,5752.0
11732.0,5977.0,0.0,137.0,5755.0
11726.0,5969.0,0.0,138.0,5757.0
11724.0,5963.0,0.0,139.0,5761.0
11719.0,5954.0,0.0,140.0,5765.0
11716.0,5952.0,0.0,141.0,5764.0
11716.0,5948.0,0.0,142.0,5768.0
11714.0,5944.0,0.0,143.0,5770.0
11710.0,5936.0,0.0,144.0,5774.0
11709.0,5932.0,0.0,145.0,5777.0
11751.0,5969.0,0.0,146.0,5782.0
11749.0,5963.0,0.0,147.0,5786.0
11744.0,5953.0,0.0,148.0,5791.0
11744.0,5950.0,0.0,149.0,5794.0
11741.0,5941.0,0.0,150.0,5800.0
11739.0,5937.0,0.0,151.0,5802.0
11736.0,5926.0,0.0,152.0,5810.0
11736.0,5923.0,0.0,153.0,5813.0
11734.0,5916.0,0.0,154.0,5818.0
11732.0,5908.0,0.0,155.0,5824.0
11732.0,5904.0,0.0,156.0,5828.0
11729.0,5893.0,0.0,157.0,5836.0
11728.0,5888.0,0.0,158.0,5840.0
11726.0,5882.0,0.0,159.0,5844.0
11724.0,5873.0,0.0,160.0,5851.0
11722.0,5867.0,0.0,161.0,5855.0
11718.0,5858.0,0.0,162.0,5860.0
11716.0,5852.0,0.0,163.0,5864.0
11714.0,5844.0,0.0,164.0,5870.0
11714.0,5833.0,0.0,165.0,5881.0
11714.0,5822.0,0.0,166.0,5892.0
11714.0,5815.0,0.0,167.0,5899.0
11714.0,5809.0,0.0,168.0,5905.0
11713.0,5801.0,0.0,169.0,5912.0
11739.0,5818.0,0.0,170.0,5921.0
11739.0,5812.0,0.0,171.0,5927.0
11739.0,5796.0,0.0,172.0,5943.0
11739.0,5786.0,0.0,173.0,5953.0
11738.0,5775.0,0.0,174.0,5963.0
11737.0,5764.0,0.0,175.0,5973.0
11737.0,5755.0,0.0,176.0,5982.0
11737.0,5748.0,0.0,177.0,5989.0
11736.0,5733.0,0.0,178.0,6003.0
11736.0,5717.0,0.0,179.0,6019.0
11735.0,5712.0,0.0,180.0,6023.0
11734.0,5700.0,0.0,181.0,6034.0
11735.0,5687.0,0.0,182.0,6048.0
11734.0,5674.0,0.0,183.0,6060.0
11734.0,5659.0,0.0,184.0,6075.0
11735.0,5649.0,0.0,185.0,6086.0
11734.0,5633.0,0.0,186.0,6101.0
11734.0,5616.0,0.0,187.0,6118.0
11734.0,5606.0,0.0,188.0,6128.0
11735.0,5589.0,0.0,189.0,6146.0
11735.0,5571.0,0.0,190.0,6164.0
11735.0,5557.0,0.0,191.0,6178.0
11735.0,5542.0,0.0,192.0,6193.0
11735.0,5524.0,0.0,193.0,6211.0
11778.0,5556.0,0.0,194.0,6222.0
11778.0,5535.0,0.0,195.0,6243.0
11778.0,5521.0,0.0,196.0,6257.0
11779.0,5509.0,0.0,197.0,6270.0
11779.0,5492.0,0.0,198.0,6287.0
11780.0,5474.0,0.0,199.0,6306.0
11781.0,5462.0,0.0,200.0,6319.0
11786.0,5456.0,0.0,201.0,6330.0
11786.0,5440.0,0.0,202.0,6346.0
11788.0,5427.0,0.0,203.0,6361.0
11788.0,5415.0,0.0,204.0,6373.0
11788.0,5403.0,0.0,205.0,6385.0
11790.0,5394.0,0.0,206.0,6396.0
11791.0,5381.0,0.0,207.0,6410.0
11792.0,5373.0,0.0,208.0,6419.0
11796.0,5358.0,0.0,209.0,6438.0
11800.0,5345.0,0.0,210.0,6455.0
11801.0,5331.0,0.0,211.0,6470.0
11803.0,5318.0,0.0,212.0,6485.0
11803.0,5305.0,0.0,213.0,6498.0
11806.0,5293.0,0.0,214.0,6513.0
11809.0,5283.0,0.0,215.0,6526.0
11812.0,5270.0,0.0,216.0,6542.0
11817.0,5266.0,0.0,217.0,6551.0
11876.0,5305.0,0.0,218.0,6571.0
11880.0,5293.0,0.0,219.0,6587.0
11884.0,5279.0,0.0,220.0,6605.0
11888.0,5259.0,0.0,221.0,6629.0
11889.0,5253.0,0.0,222.0,6636.0
11891.0,5244.0,0.0,223.0,6647.0
11898.0,5232.0,0.0,224.0,6666.0
11904.0,5230.0,0.0,225.0,6674.0
11907.0,5221.0,0.0,226.0,6686.0
11911.0,5207.0,0.0,227.0,6704.0
11915.0,5196.0,0.0,228.0,6719.0
11919.0,5186.0,0.0,229.0,6733.0
11927.0,5186.0,0.0,230.0,6741.0
11929.0,5176.0,0.0,231.0,6753.0
11932.0,5166.0,0.0,232.0,6766.0
11940.0,5158.0,0.0,233.0,6782.0
11944.0,5152.0,0.0,234.0,6792.0
11945.0,5144.0,0.0,235.0,6801.0
11951.0,5129.0,0.0,236.0,6822.0
11952.0,5127.0,0.0,237.0,6825.0
11960.0,5116.0,0.0,238.0,6844.0
11965.0,5112.0,0.0,239.0,6853.0
11970.0,5102.0,0.0,240.0,6868.0
11978.0,5098.0,0.0,241.0,6880.0
12068.0,5181.0,0.0,242.0,6887.0
