"apopNeutrophils","neutrophils","totalNeutrophils","m1 macs","m2 macs ","resMacs","m1ae","m1de","resMacs ODE","tick","random_seed"
NaN,NaN,NaN,6.821428571428572,17.964285714285715,1.8571428571428568,1.0,3.0,2.0,58.0,1831506905
NaN,NaN,NaN,6.25,19.571428571428573,1.9285714285714284,1.0,3.0,2.0,59.0,1831506905
NaN,NaN,NaN,6.25,19.571428571428573,1.9285714285714284,1.0,3.0,2.0,60.0,1831506905
NaN,NaN,NaN,6.153846153846154,19.538461538461537,1.923076923076923,1.0,3.0,2.0,61.0,1831506905
NaN,NaN,NaN,3.7916666666666665,19.5,1.9166666666666663,1.0,1.0,2.0,62.0,1831506905
NaN,NaN,NaN,2.0833333333333335,18.666666666666668,1.8333333333333328,1.0,1.0,2.0,63.0,1831506905
NaN,NaN,NaN,1.4999999999999998,19.541666666666668,1.833333333333333,1.0,0.0,2.0,64.0,1831506905
NaN,NaN,NaN,0.7599999999999999,22.28,1.9199999999999997,1.0,0.0,2.0,65.0,1831506905
NaN,NaN,NaN,0.7916666666666665,21.91666666666667,1.9166666666666663,1.0,0.0,2.0,66.0,1831506905
NaN,NaN,NaN,0.8260869565217391,20.869565217391305,1.9130434782608692,1.0,0.0,2.0,67.0,1831506905
NaN,NaN,NaN,0.8260869565217391,20.782608695652172,1.9130434782608692,1.0,0.0,2.0,68.0,1831506905
NaN,NaN,NaN,0.3913043478260869,20.73913043478261,1.9130434782608692,1.0,0.0,2.0,69.0,1831506905
NaN,NaN,NaN,0.3913043478260869,20.73913043478261,1.9130434782608692,1.0,0.0,2.0,70.0,1831506905
NaN,NaN,NaN,0.37499999999999994,21.666666666666664,1.9166666666666663,1.0,0.0,2.0,71.0,1831506905
NaN,NaN,NaN,0.391304347826087,21.217391304347824,1.9130434782608692,1.0,0.0,2.0,72.0,1831506905
NaN,NaN,NaN,0.37499999999999994,21.666666666666664,1.9166666666666663,1.0,0.0,2.0,73.0,1831506905
NaN,NaN,NaN,0.391304347826087,21.47826086956522,1.9130434782608692,1.0,0.0,2.0,74.0,1831506905
NaN,NaN,NaN,0.37499999999999994,21.666666666666664,1.9166666666666663,1.0,0.0,2.0,75.0,1831506905
NaN,NaN,NaN,0.36,22.599999999999998,1.9199999999999997,1.0,0.0,2.0,76.0,1831506905
NaN,NaN,NaN,0.36,22.599999999999998,1.9199999999999997,1.0,0.0,2.0,77.0,1831506905
NaN,NaN,NaN,0.36,23.28,1.9199999999999997,1.0,0.0,2.0,78.0,1831506905
NaN,NaN,NaN,0.34615384615384615,23.538461538461537,1.923076923076923,1.0,0.0,2.0,79.0,1831506905
NaN,NaN,NaN,0.36,23.240000000000002,1.9199999999999997,1.0,0.0,2.0,80.0,1831506905
NaN,NaN,NaN,0.40909090909090906,21.63636363636364,1.9090909090909087,1.0,0.0,2.0,81.0,1831506905
NaN,NaN,NaN,0.40909090909090906,19.81818181818182,1.9090909090909087,1.0,0.0,2.0,82.0,1831506905
NaN,NaN,NaN,0.40909090909090906,19.81818181818182,1.9090909090909087,1.0,0.0,2.0,83.0,1831506905
NaN,NaN,NaN,0.40909090909090906,19.81818181818182,1.9090909090909087,1.0,0.0,2.0,84.0,1831506905
NaN,NaN,NaN,0.391304347826087,20.73913043478261,1.9130434782608692,1.0,0.0,2.0,85.0,1831506905
NaN,NaN,NaN,0.391304347826087,20.73913043478261,1.9130434782608692,1.0,0.0,2.0,86.0,1831506905
NaN,NaN,NaN,0.3913043478260869,19.304347826086957,1.8260869565217386,1.0,0.0,2.0,87.0,1831506905
NaN,NaN,NaN,0.3913043478260869,20.73913043478261,1.9130434782608692,1.0,0.0,2.0,88.0,1831506905
NaN,NaN,NaN,0.3913043478260869,20.73913043478261,1.9130434782608692,1.0,0.0,2.0,89.0,1831506905
NaN,NaN,NaN,0.375,21.666666666666664,1.9166666666666663,1.0,0.0,2.0,90.0,1831506905
NaN,NaN,NaN,0.35999999999999993,20.799999999999997,1.8399999999999996,1.0,0.0,2.0,91.0,1831506905
NaN,NaN,NaN,0.34615384615384615,23.538461538461533,1.923076923076923,1.0,0.0,2.0,92.0,1831506905
NaN,NaN,NaN,0.35999999999999993,22.840000000000003,1.9199999999999997,1.0,0.0,2.0,93.0,1831506905
NaN,NaN,NaN,0.35999999999999993,22.599999999999998,1.9199999999999997,1.0,0.0,2.0,94.0,1831506905
NaN,NaN,NaN,0.35999999999999993,22.68,1.9199999999999997,1.0,0.0,2.0,95.0,1831506905
NaN,NaN,NaN,0.3461538461538461,23.538461538461537,1.923076923076923,1.0,0.0,2.0,96.0,1831506905
NaN,NaN,NaN,0.3461538461538461,23.538461538461537,1.923076923076923,1.0,0.0,2.0,97.0,1831506905
NaN,NaN,NaN,0.37499999999999994,22.083333333333332,1.9166666666666663,1.0,0.0,2.0,98.0,1831506905
NaN,NaN,NaN,0.37499999999999994,20.125,1.833333333333333,1.0,0.0,2.0,99.0,1831506905
NaN,NaN,NaN,0.36,20.92,1.8399999999999996,1.0,0.0,2.0,100.0,1831506905
NaN,NaN,NaN,0.37499999999999994,20.958333333333332,1.833333333333333,1.0,0.0,2.0,101.0,1831506905
NaN,NaN,NaN,0.0,22.083333333333332,1.9166666666666663,1.0,0.0,2.0,102.0,1831506905
NaN,NaN,NaN,0.0,21.200000000000003,1.8399999999999996,1.0,0.0,2.0,103.0,1831506905
