"ccl17","ccl22","ccl3","ccl4","collagen4","collagenX","cxcl1","cxcl2","ECMprot","fgf","gcsf","hgf","ifn","igf1","il1","il10","il4","il6","il8","lactoferins","lipoxins","mcp","mmp12","mmpx","pdgf","pge2","resolvins","ros","tgf","tnf","vegf","tick","random_seed"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1279481347
0.0,0.0,1.7411011265922482,1.7411011265922482,0.0,0.0,0.8705505632961241,0.8705505632961241,78.34955069665116,7.834955069665117,0.0,6.947000327308116,4.352752816480621,15.669910139330234,2.6116516898883724,0.0,0.0,8.705505632961241,1.7411011265922482,0.0,0.0,1.479935957603411,0.0,1.5669910139330234,7.834955069665117,0.0,0.0,1.0,47.0097304179907,5.223303379776745,0.0,2.0,1279481347
0.0,0.0,1.515716566510398,2.386267129806522,0.0,0.0,1.6284088465513231,1.6284088465513231,172.6733130885028,17.26733130885028,0.0,14.225220386396643,3.789291416275995,34.53466261770056,4.041958874555032,0.0,0.0,18.02518959210548,2.4135500280037094,4.352752816480621,0.0,1.3156419797310255,0.0,3.4534662617700564,17.26733130885028,0.0,0.0,0.0,103.60398785310169,6.288250826123442,0.8705505632961241,3.0,1279481347
0.0,0.0,12.636665233622509,14.265074080173832,0.0,0.0,13.605320124787385,13.605320124787385,280.90343446982274,28.090343446982274,0.0,20.899377607914165,3.2987697769322355,56.18068689396455,27.935202149596343,0.0,0.0,28.75009740236872,14.32988202480896,8.142044232756616,0.0,1.1863896687920903,0.0,5.6180686893964555,28.090343446982274,0.0,0.0,0.0,168.54206068189364,29.84965607112056,1.6284088465513231,4.0,1279481347
0.0,0.0,24.059114486756485,26.347277288694254,0.0,0.0,24.031826984603487,24.031826984603487,401.2397445028224,40.12397445028224,0.0,26.948083167556128,11.57725152045383,80.24794890056448,50.669393580168105,0.0,0.0,42.43942475437301,26.637566595564618,11.440814009688852,0.0,4.226554823824664,0.0,8.024794890056448,40.12397445028224,0.0,0.0,2.0,240.74384670169346,57.32545518557004,2.28816280193777,5.0,1279481347
0.0,0.0,34.00293411829366,36.86544609772995,0.0,0.0,33.1086284046273,33.1086284046273,523.4095982529498,52.34095982529498,0.0,32.49477062190238,18.784088465513232,104.68191965058996,70.72583309500213,0.0,0.0,56.09777751839763,37.617204690374834,14.312559897181437,0.0,7.13834867091938,0.0,10.468191965058995,52.34095982529498,0.0,0.0,2.0,314.04575895176987,81.24452758166518,2.8625119794362877,6.0,1279481347
0.0,0.0,42.6595318998434,46.02204387927969,0.0,0.0,36.65769017727546,36.65769017727546,612.3536219870058,61.235362198700585,0.0,37.50958184645726,46.82176851002112,122.47072439740117,83.97072514610338,0.0,0.0,70.59971590070481,47.313034968827914,16.812559897181437,0.0,17.210392382955398,0.0,12.247072439740116,61.235362198700585,0.0,0.0,7.0,367.41217319220345,110.77279516256783,3.3625119794362877,7.0,1279481347
0.0,0.0,54.54829079128013,58.34607805236448,0.0,0.0,39.74732790262707,39.74732790262707,715.9004088493958,71.59004088493958,0.0,42.03666041780899,92.99375074868706,143.18008176987917,100.22982882708796,0.0,0.0,90.188791034677,60.4825009244609,18.988936305421745,0.0,33.754298126650006,0.0,14.318008176987915,71.59004088493958,0.0,0.0,12.0,429.5402453096375,153.8896564042038,3.79778726108435,8.0,1279481347
0.0,1.7411011265922482,69.2508093575928,73.42752576030475,0.0,0.0,47.66031714458961,47.66031714458961,807.7842236065454,80.60431224799532,0.0,46.08072437543386,128.83604307857573,161.20862449599065,126.0954798004442,0.0,0.0,106.50548959077858,76.72085527467597,20.883582013559742,0.0,47.204759142741445,1.7411011265922482,17.86196357619131,80.60431224799532,0.0,0.0,11.0,483.6258734879719,198.44305624286704,5.047266966008074,9.0,1279481347
0.0,3.2568176931026462,78.56789292418352,87.42723912106932,0.0,0.0,54.54897438653627,54.54897438653627,896.4792359341399,89.32224182410374,0.0,54.26738989017028,164.39132367266527,178.64448364820748,149.97701761273993,0.0,0.0,122.48988782384443,92.22910178614258,44.29673098442897,0.0,60.92641772594555,3.2568176931026462,21.121266057923393,89.32224182410374,0.0,0.0,12.0,535.9334509446223,240.72676021728782,10.487755043437117,10.0,1279481347
