"total size","ECM","fibers","necrosis","tick"
12804.0,3621.0,9183.0,0.0,1.0
12820.0,3637.0,6411.0,2772.0,2.0
12820.0,3637.0,6411.0,2772.0,3.0
12820.0,3637.0,6411.0,2772.0,4.0
12820.0,3637.0,6411.0,2772.0,5.0
12820.0,3637.0,6411.0,2772.0,6.0
12820.0,3637.0,6411.0,2772.0,7.0
12820.0,3637.0,6411.0,2772.0,8.0
12820.0,3647.0,6411.0,2762.0,9.0
12820.0,3654.0,6411.0,2755.0,10.0
12819.0,3664.0,6411.0,2744.0,11.0
12818.0,3680.0,6411.0,2727.0,12.0
12817.0,3698.0,6410.0,2709.0,13.0
12816.0,3713.0,6410.0,2693.0,14.0
12815.0,3748.0,6410.0,2657.0,15.0
12815.0,3780.0,6410.0,2625.0,16.0
12815.0,3813.0,6410.0,2592.0,17.0
12812.0,3845.0,6409.0,2558.0,18.0
12811.0,3883.0,6409.0,2519.0,19.0
12806.0,3924.0,6407.0,2475.0,20.0
12803.0,3964.0,6407.0,2432.0,21.0
12798.0,4006.0,6406.0,2386.0,22.0
12795.0,4041.0,6405.0,2349.0,23.0
12793.0,4076.0,6405.0,2312.0,24.0
12792.0,4123.0,6405.0,2264.0,25.0
12813.0,4181.0,6405.0,2227.0,26.0
12809.0,4232.0,6403.0,2174.0,27.0
12799.0,4269.0,6402.0,2128.0,28.0
12794.0,4293.0,6399.0,2102.0,29.0
12787.0,4329.0,6398.0,2060.0,30.0
12781.0,4369.0,6396.0,2016.0,31.0
12775.0,4412.0,6386.0,1977.0,32.0
12767.0,4450.0,6381.0,1936.0,33.0
12760.0,4478.0,6380.0,1902.0,34.0
12753.0,4510.0,6377.0,1866.0,35.0
12745.0,4548.0,6374.0,1823.0,36.0
12728.0,4575.0,6372.0,1781.0,37.0
12718.0,4614.0,6372.0,1732.0,38.0
12711.0,4647.0,6369.0,1695.0,39.0
12699.0,4677.0,6368.0,1654.0,40.0
12687.0,4714.0,6365.0,1608.0,41.0
12676.0,4741.0,6364.0,1571.0,42.0
12661.0,4775.0,6357.0,1529.0,43.0
12654.0,4797.0,6356.0,1501.0,44.0
12641.0,4829.0,6356.0,1456.0,45.0
12626.0,4858.0,6349.0,1419.0,46.0
12616.0,4890.0,6348.0,1378.0,47.0
12601.0,4913.0,6345.0,1343.0,48.0
12586.0,4947.0,6343.0,1296.0,49.0
12648.0,5049.0,6341.0,1258.0,50.0
12631.0,5083.0,6336.0,1212.0,51.0
12618.0,5110.0,6334.0,1174.0,52.0
12605.0,5136.0,6333.0,1136.0,53.0
12594.0,5157.0,6329.0,1108.0,54.0
12577.0,5174.0,6326.0,1077.0,55.0
12558.0,5195.0,6322.0,1041.0,56.0
12543.0,5213.0,6320.0,1010.0,57.0
12528.0,5230.0,6319.0,979.0,58.0
12518.0,5257.0,6319.0,942.0,59.0
12496.0,5259.0,6313.0,924.0,60.0
12487.0,5276.0,6313.0,898.0,61.0
12476.0,5289.0,6312.0,875.0,62.0
12460.0,5278.0,6310.0,872.0,63.0
12450.0,5270.0,6308.0,872.0,64.0
12426.0,5250.0,6304.0,872.0,65.0
12410.0,5236.0,6302.0,872.0,66.0
12395.0,5221.0,6302.0,872.0,67.0
12381.0,5210.0,6299.0,872.0,68.0
12366.0,5193.0,6301.0,872.0,69.0
12354.0,5183.0,6299.0,872.0,70.0
12343.0,5177.0,6294.0,872.0,71.0
12329.0,5163.0,6294.0,872.0,72.0
12316.0,5153.0,6291.0,872.0,73.0
12392.0,5233.0,6287.0,872.0,74.0
12385.0,5226.0,6287.0,872.0,75.0
12374.0,5217.0,6285.0,872.0,76.0
12365.0,5209.0,6284.0,872.0,77.0
12350.0,5193.0,6285.0,872.0,78.0
12340.0,5183.0,6285.0,872.0,79.0
12332.0,5175.0,6285.0,872.0,80.0
12319.0,5163.0,6284.0,872.0,81.0
12303.0,5147.0,6284.0,872.0,82.0
12288.0,5130.0,6286.0,872.0,83.0
12278.0,5121.0,6285.0,872.0,84.0
12265.0,5110.0,6283.0,872.0,85.0
12252.0,5099.0,6281.0,872.0,86.0
12243.0,5090.0,6281.0,872.0,87.0
12228.0,5077.0,6279.0,872.0,88.0
12220.0,5068.0,6280.0,872.0,89.0
12214.0,5064.0,6278.0,872.0,90.0
12207.0,5056.0,6279.0,872.0,91.0
12199.0,5048.0,6279.0,872.0,92.0
12191.0,5040.0,6279.0,872.0,93.0
12178.0,5030.0,6276.0,872.0,94.0
12163.0,5014.0,6277.0,872.0,95.0
12154.0,5006.0,6276.0,872.0,96.0
12146.0,4994.0,6280.0,872.0,97.0
12228.0,5075.0,6281.0,872.0,98.0
12217.0,5060.0,6285.0,872.0,99.0
12210.0,5051.0,6287.0,872.0,100.0
12191.0,5033.0,6286.0,872.0,101.0
12184.0,5026.0,6286.0,872.0,102.0
12179.0,5020.0,6287.0,872.0,103.0
12170.0,5007.0,6291.0,872.0,104.0
12161.0,4996.0,6293.0,872.0,105.0
12155.0,4987.0,6296.0,872.0,106.0
12152.0,4980.0,6300.0,872.0,107.0
12144.0,4971.0,6301.0,872.0,108.0
12137.0,4961.0,6304.0,872.0,109.0
12129.0,4951.0,6306.0,872.0,110.0
12121.0,4942.0,6307.0,872.0,111.0
12111.0,4927.0,6312.0,872.0,112.0
12100.0,4914.0,6314.0,872.0,113.0
12092.0,4902.0,6318.0,872.0,114.0
12081.0,4888.0,6321.0,872.0,115.0
12074.0,4879.0,6323.0,872.0,116.0
12071.0,4872.0,6327.0,872.0,117.0
12065.0,4864.0,6329.0,872.0,118.0
12058.0,4856.0,6330.0,872.0,119.0
12050.0,4849.0,6329.0,872.0,120.0
12041.0,4837.0,6332.0,872.0,121.0
12108.0,4899.0,6337.0,872.0,122.0
12104.0,4892.0,6340.0,872.0,123.0
12102.0,4884.0,6346.0,872.0,124.0
12100.0,4879.0,6349.0,872.0,125.0
12088.0,4863.0,6353.0,872.0,126.0
12086.0,4860.0,6354.0,872.0,127.0
12082.0,4848.0,6362.0,872.0,128.0
12075.0,4833.0,6370.0,872.0,129.0
12066.0,4820.0,6374.0,872.0,130.0
12056.0,4803.0,6381.0,872.0,131.0
12051.0,4790.0,6389.0,872.0,132.0
12044.0,4781.0,6391.0,872.0,133.0
12039.0,4770.0,6397.0,872.0,134.0
12035.0,4760.0,6403.0,872.0,135.0
12030.0,4746.0,6412.0,872.0,136.0
12024.0,4737.0,6415.0,872.0,137.0
12018.0,4721.0,6425.0,872.0,138.0
12014.0,4710.0,6432.0,872.0,139.0
12008.0,4696.0,6440.0,872.0,140.0
12006.0,4687.0,6447.0,872.0,141.0
12002.0,4675.0,6455.0,872.0,142.0
11993.0,4655.0,6466.0,872.0,143.0
11988.0,4642.0,6474.0,872.0,144.0
11983.0,4629.0,6482.0,872.0,145.0
12056.0,4697.0,6487.0,872.0,146.0
12052.0,4681.0,6499.0,872.0,147.0
12047.0,4670.0,6505.0,872.0,148.0
12043.0,4659.0,6512.0,872.0,149.0
12042.0,4649.0,6521.0,872.0,150.0
12041.0,4640.0,6529.0,872.0,151.0
12040.0,4628.0,6540.0,872.0,152.0
12035.0,4613.0,6550.0,872.0,153.0
12033.0,4601.0,6560.0,872.0,154.0
12031.0,4593.0,6566.0,872.0,155.0
12031.0,4584.0,6575.0,872.0,156.0
12028.0,4572.0,6584.0,872.0,157.0
12023.0,4562.0,6589.0,872.0,158.0
12022.0,4555.0,6595.0,872.0,159.0
12017.0,4545.0,6600.0,872.0,160.0
12011.0,4522.0,6617.0,872.0,161.0
12009.0,4512.0,6625.0,872.0,162.0
12007.0,4502.0,6633.0,872.0,163.0
12003.0,4496.0,6635.0,872.0,164.0
11998.0,4476.0,6650.0,872.0,165.0
11997.0,4463.0,6662.0,872.0,166.0
11997.0,4455.0,6670.0,872.0,167.0
11995.0,4443.0,6680.0,872.0,168.0
11993.0,4436.0,6685.0,872.0,169.0
12084.0,4514.0,6698.0,872.0,170.0
12079.0,4502.0,6705.0,872.0,171.0
12076.0,4493.0,6711.0,872.0,172.0
12073.0,4481.0,6720.0,872.0,173.0
12071.0,4474.0,6725.0,872.0,174.0
12070.0,4465.0,6733.0,872.0,175.0
12068.0,4455.0,6741.0,872.0,176.0
12068.0,4450.0,6746.0,872.0,177.0
12067.0,4441.0,6754.0,872.0,178.0
12064.0,4429.0,6763.0,872.0,179.0
12057.0,4416.0,6769.0,872.0,180.0
12056.0,4404.0,6780.0,872.0,181.0
12055.0,4393.0,6790.0,872.0,182.0
12052.0,4385.0,6795.0,872.0,183.0
12050.0,4371.0,6807.0,872.0,184.0
12049.0,4361.0,6816.0,872.0,185.0
12048.0,4353.0,6823.0,872.0,186.0
12046.0,4343.0,6831.0,872.0,187.0
12044.0,4335.0,6837.0,872.0,188.0
12043.0,4331.0,6840.0,872.0,189.0
12042.0,4323.0,6847.0,872.0,190.0
12038.0,4310.0,6856.0,872.0,191.0
12037.0,4301.0,6864.0,872.0,192.0
12033.0,4293.0,6868.0,872.0,193.0
12111.0,4363.0,6876.0,872.0,194.0
12111.0,4355.0,6884.0,872.0,195.0
12110.0,4346.0,6892.0,872.0,196.0
12109.0,4334.0,6903.0,872.0,197.0
12107.0,4322.0,6913.0,872.0,198.0
12105.0,4310.0,6923.0,872.0,199.0
12104.0,4308.0,6924.0,872.0,200.0
12101.0,4296.0,6933.0,872.0,201.0
12099.0,4287.0,6940.0,872.0,202.0
12097.0,4280.0,6945.0,872.0,203.0
12096.0,4270.0,6954.0,872.0,204.0
12094.0,4263.0,6959.0,872.0,205.0
12094.0,4253.0,6969.0,872.0,206.0
12093.0,4243.0,6978.0,872.0,207.0
12091.0,4229.0,6990.0,872.0,208.0
12090.0,4223.0,6995.0,872.0,209.0
12088.0,4209.0,7007.0,872.0,210.0
12087.0,4202.0,7013.0,872.0,211.0
12086.0,4193.0,7021.0,872.0,212.0
12083.0,4191.0,7020.0,872.0,213.0
12083.0,4179.0,7032.0,872.0,214.0
12083.0,4173.0,7038.0,872.0,215.0
12082.0,4164.0,7046.0,872.0,216.0
12081.0,4153.0,7056.0,872.0,217.0
12134.0,4197.0,7065.0,872.0,218.0
12134.0,4187.0,7075.0,872.0,219.0
