"total size","ECM","necrosis","tick","fiber"
11444.0,6399.0,0.0,137.0,5045.0
11437.0,6391.0,0.0,138.0,5046.0
11426.0,6381.0,0.0,139.0,5045.0
11419.0,6370.0,0.0,140.0,5049.0
11412.0,6363.0,0.0,141.0,5049.0
11409.0,6357.0,0.0,142.0,5052.0
11402.0,6344.0,0.0,143.0,5058.0
11399.0,6338.0,0.0,144.0,5061.0
11395.0,6329.0,0.0,145.0,5066.0
11445.0,6377.0,0.0,146.0,5068.0
11444.0,6373.0,0.0,147.0,5071.0
11438.0,6362.0,0.0,148.0,5076.0
11435.0,6355.0,0.0,149.0,5080.0
11426.0,6344.0,0.0,150.0,5082.0
11421.0,6334.0,0.0,151.0,5087.0
11415.0,6321.0,0.0,152.0,5094.0
11414.0,6316.0,0.0,153.0,5098.0
11413.0,6309.0,0.0,154.0,5104.0
11410.0,6301.0,0.0,155.0,5109.0
11406.0,6291.0,0.0,156.0,5115.0
11404.0,6277.0,0.0,157.0,5127.0
11400.0,6268.0,0.0,158.0,5132.0
11397.0,6258.0,0.0,159.0,5139.0
11393.0,6249.0,0.0,160.0,5144.0
11390.0,6237.0,0.0,161.0,5153.0
11390.0,6230.0,0.0,162.0,5160.0
11389.0,6220.0,0.0,163.0,5169.0
11387.0,6210.0,0.0,164.0,5177.0
11386.0,6206.0,0.0,165.0,5180.0
11384.0,6194.0,0.0,166.0,5190.0
11379.0,6184.0,0.0,167.0,5195.0
11377.0,6172.0,0.0,168.0,5205.0
11376.0,6164.0,0.0,169.0,5212.0
11427.0,6204.0,0.0,170.0,5223.0
11418.0,6180.0,0.0,171.0,5238.0
11413.0,6163.0,0.0,172.0,5250.0
11411.0,6148.0,0.0,173.0,5263.0
11407.0,6131.0,0.0,174.0,5276.0
11407.0,6118.0,0.0,175.0,5289.0
11406.0,6106.0,0.0,176.0,5300.0
11403.0,6094.0,0.0,177.0,5309.0
11400.0,6080.0,0.0,178.0,5320.0
11399.0,6063.0,0.0,179.0,5336.0
11397.0,6049.0,0.0,180.0,5348.0
11397.0,6035.0,0.0,181.0,5362.0
11396.0,6020.0,0.0,182.0,5376.0
11396.0,6001.0,0.0,183.0,5395.0
11394.0,5988.0,0.0,184.0,5406.0
11396.0,5971.0,0.0,185.0,5425.0
11396.0,5963.0,0.0,186.0,5433.0
11398.0,5954.0,0.0,187.0,5444.0
11404.0,5942.0,0.0,188.0,5462.0
11407.0,5931.0,0.0,189.0,5476.0
11407.0,5915.0,0.0,190.0,5492.0
11407.0,5900.0,0.0,191.0,5507.0
11411.0,5887.0,0.0,192.0,5524.0
11414.0,5875.0,0.0,193.0,5539.0
11504.0,5948.0,0.0,194.0,5556.0
11504.0,5933.0,0.0,195.0,5571.0
11504.0,5920.0,0.0,196.0,5584.0
11505.0,5916.0,0.0,197.0,5589.0
11506.0,5905.0,0.0,198.0,5601.0
11505.0,5898.0,0.0,199.0,5607.0
11504.0,5885.0,0.0,200.0,5619.0
11505.0,5874.0,0.0,201.0,5631.0
11503.0,5858.0,0.0,202.0,5645.0
11504.0,5846.0,0.0,203.0,5658.0
11506.0,5829.0,0.0,204.0,5677.0
11505.0,5817.0,0.0,205.0,5688.0
11508.0,5805.0,0.0,206.0,5703.0
11507.0,5790.0,0.0,207.0,5717.0
11508.0,5777.0,0.0,208.0,5731.0
11509.0,5757.0,0.0,209.0,5752.0
11511.0,5744.0,0.0,210.0,5767.0
11512.0,5734.0,0.0,211.0,5778.0
11513.0,5716.0,0.0,212.0,5797.0
11514.0,5702.0,0.0,213.0,5812.0
11517.0,5699.0,0.0,214.0,5818.0
11520.0,5684.0,0.0,215.0,5836.0
11521.0,5671.0,0.0,216.0,5850.0
11525.0,5661.0,0.0,217.0,5864.0
11631.0,5752.0,0.0,218.0,5879.0
11632.0,5741.0,0.0,219.0,5891.0
11635.0,5730.0,0.0,220.0,5905.0
11637.0,5719.0,0.0,221.0,5918.0
11641.0,5708.0,0.0,222.0,5933.0
11642.0,5705.0,0.0,223.0,5937.0
11643.0,5692.0,0.0,224.0,5951.0
11651.0,5678.0,0.0,225.0,5973.0
11652.0,5669.0,0.0,226.0,5983.0
11652.0,5652.0,0.0,227.0,6000.0
11654.0,5640.0,0.0,228.0,6014.0
11659.0,5629.0,0.0,229.0,6030.0
11663.0,5618.0,0.0,230.0,6045.0
11666.0,5608.0,0.0,231.0,6058.0
11668.0,5597.0,0.0,232.0,6071.0
11672.0,5587.0,0.0,233.0,6085.0
11677.0,5578.0,0.0,234.0,6099.0
11679.0,5569.0,0.0,235.0,6110.0
11682.0,5564.0,0.0,236.0,6118.0
11683.0,5553.0,0.0,237.0,6130.0
11687.0,5543.0,0.0,238.0,6144.0
11692.0,5534.0,0.0,239.0,6158.0
11694.0,5517.0,0.0,240.0,6177.0
11698.0,5507.0,0.0,241.0,6191.0
11825.0,5618.0,0.0,242.0,6207.0
11816.0,5600.0,0.0,243.0,6216.0
11817.0,5592.0,0.0,244.0,6225.0
11821.0,5586.0,0.0,245.0,6235.0
11820.0,5566.0,0.0,246.0,6254.0
11821.0,5555.0,0.0,247.0,6266.0
11824.0,5543.0,0.0,248.0,6281.0
11824.0,5534.0,0.0,249.0,6290.0
11827.0,5524.0,0.0,250.0,6303.0
11831.0,5517.0,0.0,251.0,6314.0
11832.0,5504.0,0.0,252.0,6328.0
11836.0,5488.0,0.0,253.0,6348.0
11837.0,5478.0,0.0,254.0,6359.0
11841.0,5468.0,0.0,255.0,6373.0
11844.0,5463.0,0.0,256.0,6381.0
11846.0,5452.0,0.0,257.0,6394.0
11850.0,5436.0,0.0,258.0,6414.0
11854.0,5422.0,0.0,259.0,6432.0
11859.0,5407.0,0.0,260.0,6452.0
11864.0,5394.0,0.0,261.0,6470.0
11871.0,5390.0,0.0,262.0,6481.0
11873.0,5382.0,0.0,263.0,6491.0
11876.0,5371.0,0.0,264.0,6505.0
11881.0,5363.0,0.0,265.0,6518.0
11991.0,5466.0,0.0,266.0,6525.0
11978.0,5437.0,0.0,267.0,6541.0
11980.0,5418.0,0.0,268.0,6562.0
11979.0,5403.0,0.0,269.0,6576.0
11980.0,5398.0,0.0,270.0,6582.0
11982.0,5392.0,0.0,271.0,6590.0
11983.0,5380.0,0.0,272.0,6603.0
11985.0,5362.0,0.0,273.0,6623.0
11989.0,5356.0,0.0,274.0,6633.0
11993.0,5350.0,0.0,275.0,6643.0
12001.0,5335.0,0.0,276.0,6666.0
12006.0,5339.0,0.0,277.0,6667.0
12003.0,5336.0,0.0,278.0,6667.0
12008.0,5315.0,0.0,279.0,6693.0
12012.0,5301.0,0.0,280.0,6711.0
12014.0,5293.0,0.0,281.0,6721.0
12020.0,5284.0,0.0,282.0,6736.0
12021.0,5274.0,0.0,283.0,6747.0
12026.0,5273.0,0.0,284.0,6753.0
12030.0,5268.0,0.0,285.0,6762.0
12030.0,5251.0,0.0,286.0,6779.0
12033.0,5240.0,0.0,287.0,6793.0
12038.0,5228.0,0.0,288.0,6810.0
12044.0,5225.0,0.0,289.0,6819.0
12158.0,5334.0,0.0,290.0,6824.0
12161.0,5323.0,0.0,291.0,6838.0
12163.0,5318.0,0.0,292.0,6845.0
12163.0,5306.0,0.0,293.0,6857.0
12162.0,5294.0,0.0,294.0,6868.0
12164.0,5282.0,0.0,295.0,6882.0
12167.0,5265.0,0.0,296.0,6902.0
12166.0,5252.0,0.0,297.0,6914.0
12166.0,5239.0,0.0,298.0,6927.0
12172.0,5235.0,0.0,299.0,6937.0
12172.0,5224.0,0.0,300.0,6948.0
12179.0,5220.0,0.0,301.0,6959.0
12181.0,5208.0,0.0,302.0,6973.0
12189.0,5201.0,0.0,303.0,6988.0
12189.0,5188.0,0.0,304.0,7001.0
12190.0,5175.0,0.0,305.0,7015.0
12195.0,5175.0,0.0,306.0,7020.0
12198.0,5166.0,0.0,307.0,7032.0
12201.0,5157.0,0.0,308.0,7044.0
12205.0,5151.0,0.0,309.0,7054.0
12205.0,5141.0,0.0,310.0,7064.0
12208.0,5134.0,0.0,311.0,7074.0
12211.0,5127.0,0.0,312.0,7084.0
12213.0,5114.0,0.0,313.0,7099.0
12338.0,5230.0,0.0,314.0,7108.0
12329.0,5202.0,0.0,315.0,7127.0
12331.0,5193.0,0.0,316.0,7138.0
12331.0,5176.0,0.0,317.0,7155.0
12335.0,5168.0,0.0,318.0,7167.0
12336.0,5159.0,0.0,319.0,7177.0
12338.0,5155.0,0.0,320.0,7183.0
12339.0,5141.0,0.0,321.0,7198.0
12342.0,5127.0,0.0,322.0,7215.0
12346.0,5120.0,0.0,323.0,7226.0
12349.0,5111.0,0.0,324.0,7238.0
12355.0,5111.0,0.0,325.0,7244.0
12358.0,5101.0,0.0,326.0,7257.0
12359.0,5090.0,0.0,327.0,7269.0
12362.0,5079.0,0.0,328.0,7283.0
12367.0,5068.0,0.0,329.0,7299.0
12367.0,5065.0,0.0,330.0,7302.0
12369.0,5057.0,0.0,331.0,7312.0
12374.0,5052.0,0.0,332.0,7322.0
12379.0,5050.0,0.0,333.0,7329.0
12379.0,5036.0,0.0,334.0,7343.0
12385.0,5028.0,0.0,335.0,7357.0
12385.0,5024.0,0.0,336.0,7361.0
12392.0,5011.0,0.0,337.0,7381.0
12487.0,5096.0,0.0,338.0,7391.0
12479.0,5073.0,0.0,339.0,7406.0
12483.0,5071.0,0.0,340.0,7412.0
12484.0,5056.0,0.0,341.0,7428.0
12488.0,5050.0,0.0,342.0,7438.0
12490.0,5045.0,0.0,343.0,7445.0
12496.0,5032.0,0.0,344.0,7464.0
12499.0,5022.0,0.0,345.0,7477.0
12503.0,5018.0,0.0,346.0,7485.0
12508.0,5010.0,0.0,347.0,7498.0
12509.0,5005.0,0.0,348.0,7504.0
12511.0,5002.0,0.0,349.0,7509.0
12514.0,4993.0,0.0,350.0,7521.0
12518.0,4989.0,0.0,351.0,7529.0
12518.0,4978.0,0.0,352.0,7540.0
12521.0,4973.0,0.0,353.0,7548.0
12525.0,4968.0,0.0,354.0,7557.0
12529.0,4973.0,0.0,355.0,7556.0
12531.0,4961.0,0.0,356.0,7570.0
12536.0,4956.0,0.0,357.0,7580.0
12538.0,4950.0,0.0,358.0,7588.0
12546.0,4941.0,0.0,359.0,7605.0
12550.0,4947.0,0.0,360.0,7603.0
12553.0,4942.0,0.0,361.0,7611.0
12632.0,5006.0,0.0,362.0,7626.0
12623.0,4989.0,0.0,363.0,7634.0
12625.0,4987.0,0.0,364.0,7638.0
12628.0,4974.0,0.0,365.0,7654.0
12629.0,4965.0,0.0,366.0,7664.0
12634.0,4955.0,0.0,367.0,7679.0
12634.0,4948.0,0.0,368.0,7686.0
12635.0,4936.0,0.0,369.0,7699.0
12636.0,4932.0,0.0,370.0,7704.0
12642.0,4925.0,0.0,371.0,7717.0
12648.0,4924.0,0.0,372.0,7724.0
12652.0,4922.0,0.0,373.0,7730.0
12653.0,4910.0,0.0,374.0,7743.0
12654.0,4901.0,0.0,375.0,7753.0
12658.0,4888.0,0.0,376.0,7770.0
12662.0,4886.0,0.0,377.0,7776.0
12666.0,4879.0,0.0,378.0,7787.0
12667.0,4878.0,0.0,379.0,7789.0
12670.0,4874.0,0.0,380.0,7796.0
12680.0,4865.0,0.0,381.0,7815.0
12689.0,4874.0,0.0,382.0,7815.0
12693.0,4857.0,0.0,383.0,7836.0
12697.0,4852.0,0.0,384.0,7845.0
12697.0,4854.0,0.0,385.0,7843.0
12797.0,4947.0,0.0,386.0,7850.0
12780.0,4916.0,0.0,387.0,7864.0
12783.0,4908.0,0.0,388.0,7875.0
12786.0,4900.0,0.0,389.0,7886.0
12787.0,4887.0,0.0,390.0,7900.0
12789.0,4881.0,0.0,391.0,7908.0
12794.0,4883.0,0.0,392.0,7911.0
12797.0,4873.0,0.0,393.0,7924.0
12801.0,4868.0,0.0,394.0,7933.0
12806.0,4873.0,0.0,395.0,7933.0
12809.0,4868.0,0.0,396.0,7941.0
12812.0,4863.0,0.0,397.0,7949.0
12814.0,4857.0,0.0,398.0,7957.0
12817.0,4855.0,0.0,399.0,7962.0
12819.0,4852.0,0.0,400.0,7967.0
12823.0,4845.0,0.0,401.0,7978.0
12827.0,4840.0,0.0,402.0,7987.0
12828.0,4836.0,0.0,403.0,7992.0
12830.0,4833.0,0.0,404.0,7997.0
12836.0,4830.0,0.0,405.0,8006.0
12840.0,4829.0,0.0,406.0,8011.0
12841.0,4827.0,0.0,407.0,8014.0
12845.0,4819.0,0.0,408.0,8026.0
12846.0,4817.0,0.0,409.0,8029.0
12924.0,4889.0,0.0,410.0,8035.0
12911.0,4867.0,0.0,411.0,8044.0
12914.0,4861.0,0.0,412.0,8053.0
12919.0,4858.0,0.0,413.0,8061.0
12921.0,4850.0,0.0,414.0,8071.0
12923.0,4841.0,0.0,415.0,8082.0
12926.0,4832.0,0.0,416.0,8094.0
12927.0,4822.0,0.0,417.0,8105.0
12929.0,4823.0,0.0,418.0,8106.0
12931.0,4819.0,0.0,419.0,8112.0
12934.0,4814.0,0.0,420.0,8120.0
12937.0,4817.0,0.0,421.0,8120.0
12942.0,4810.0,0.0,422.0,8132.0
12943.0,4807.0,0.0,423.0,8136.0
12945.0,4800.0,0.0,424.0,8145.0
12952.0,4804.0,0.0,425.0,8148.0
12953.0,4793.0,0.0,426.0,8160.0
12951.0,4787.0,0.0,427.0,8164.0
12952.0,4780.0,0.0,428.0,8172.0
12952.0,4771.0,0.0,429.0,8181.0
12957.0,4772.0,0.0,430.0,8185.0
12960.0,4768.0,0.0,431.0,8192.0
12961.0,4763.0,0.0,432.0,8198.0
12965.0,4759.0,0.0,433.0,8206.0
13014.0,4804.0,0.0,434.0,8210.0
13016.0,4798.0,0.0,435.0,8218.0
13017.0,4790.0,0.0,436.0,8227.0
13019.0,4787.0,0.0,437.0,8232.0
13020.0,4783.0,0.0,438.0,8237.0
13021.0,4782.0,0.0,439.0,8239.0
13022.0,4777.0,0.0,440.0,8245.0
13022.0,4769.0,0.0,441.0,8253.0
13025.0,4764.0,0.0,442.0,8261.0
13028.0,4762.0,0.0,443.0,8266.0
13029.0,4765.0,0.0,444.0,8264.0
13030.0,4763.0,0.0,445.0,8267.0
13034.0,4765.0,0.0,446.0,8269.0
13036.0,4772.0,0.0,447.0,8264.0
13040.0,4774.0,0.0,448.0,8266.0
13040.0,4773.0,0.0,449.0,8267.0
13044.0,4772.0,0.0,450.0,8272.0
13047.0,4771.0,0.0,451.0,8276.0
13051.0,4767.0,0.0,452.0,8284.0
13052.0,4764.0,0.0,453.0,8288.0
13054.0,4761.0,0.0,454.0,8293.0
13059.0,4759.0,0.0,455.0,8300.0
13060.0,4763.0,0.0,456.0,8297.0
13062.0,4762.0,0.0,457.0,8300.0
13108.0,4801.0,0.0,458.0,8307.0
13101.0,4790.0,0.0,459.0,8311.0
13101.0,4785.0,0.0,460.0,8316.0
13101.0,4782.0,0.0,461.0,8319.0
13103.0,4782.0,0.0,462.0,8321.0
13104.0,4782.0,0.0,463.0,8322.0
13104.0,4779.0,0.0,464.0,8325.0
13107.0,4784.0,0.0,465.0,8323.0
13109.0,4782.0,0.0,466.0,8327.0
13111.0,4782.0,0.0,467.0,8329.0
13112.0,4788.0,0.0,468.0,8324.0
13116.0,4782.0,0.0,469.0,8334.0
13117.0,4784.0,0.0,470.0,8333.0
13118.0,4784.0,0.0,471.0,8334.0
13123.0,4784.0,0.0,472.0,8339.0
13123.0,4780.0,0.0,473.0,8343.0
13124.0,4777.0,0.0,474.0,8347.0
13126.0,4778.0,0.0,475.0,8348.0
13128.0,4773.0,0.0,476.0,8355.0
13130.0,4770.0,0.0,477.0,8360.0
13132.0,4772.0,0.0,478.0,8360.0
13133.0,4771.0,0.0,479.0,8362.0
13134.0,4768.0,0.0,480.0,8366.0
13137.0,4769.0,0.0,481.0,8368.0
13177.0,4806.0,0.0,482.0,8371.0
13169.0,4793.0,0.0,483.0,8376.0
13173.0,4794.0,0.0,484.0,8379.0
13176.0,4793.0,0.0,485.0,8383.0
13174.0,4791.0,0.0,486.0,8383.0
13176.0,4788.0,0.0,487.0,8388.0
13178.0,4784.0,0.0,488.0,8394.0
13183.0,4780.0,0.0,489.0,8403.0
13181.0,4788.0,0.0,490.0,8393.0
13182.0,4786.0,0.0,491.0,8396.0
13185.0,4785.0,0.0,492.0,8400.0
13186.0,4794.0,0.0,493.0,8392.0
13186.0,4791.0,0.0,494.0,8395.0
13190.0,4789.0,0.0,495.0,8401.0
13191.0,4784.0,0.0,496.0,8407.0
13192.0,4782.0,0.0,497.0,8410.0
13194.0,4783.0,0.0,498.0,8411.0
13196.0,4778.0,0.0,499.0,8418.0
13195.0,4777.0,0.0,500.0,8418.0
13197.0,4776.0,0.0,501.0,8421.0
13197.0,4771.0,0.0,502.0,8426.0
13197.0,4768.0,0.0,503.0,8429.0
13198.0,4767.0,0.0,504.0,8431.0
13198.0,4765.0,0.0,505.0,8433.0
13222.0,4784.0,0.0,506.0,8438.0
13217.0,4778.0,0.0,507.0,8439.0
13219.0,4781.0,0.0,508.0,8438.0
13223.0,4778.0,0.0,509.0,8445.0
13226.0,4777.0,0.0,510.0,8449.0
13225.0,4780.0,0.0,511.0,8445.0
13227.0,4780.0,0.0,512.0,8447.0
13229.0,4782.0,0.0,513.0,8447.0
13227.0,4779.0,0.0,514.0,8448.0
13228.0,4776.0,0.0,515.0,8452.0
13229.0,4774.0,0.0,516.0,8455.0
13235.0,4773.0,0.0,517.0,8462.0
13234.0,4774.0,0.0,518.0,8460.0
13236.0,4777.0,0.0,519.0,8459.0
13238.0,4773.0,0.0,520.0,8465.0
13239.0,4780.0,0.0,521.0,8459.0
13240.0,4776.0,0.0,522.0,8464.0
13243.0,4774.0,0.0,523.0,8469.0
13246.0,4783.0,0.0,524.0,8463.0
13245.0,4781.0,0.0,525.0,8464.0
13245.0,4777.0,0.0,526.0,8468.0
13246.0,4773.0,0.0,527.0,8473.0
13248.0,4770.0,0.0,528.0,8478.0
13250.0,4770.0,0.0,529.0,8480.0
13280.0,4794.0,0.0,530.0,8486.0
13275.0,4785.0,0.0,531.0,8490.0
13278.0,4781.0,0.0,532.0,8497.0
13278.0,4776.0,0.0,533.0,8502.0
13283.0,4770.0,0.0,534.0,8513.0
13286.0,4770.0,0.0,535.0,8516.0
13288.0,4781.0,0.0,536.0,8507.0
13289.0,4778.0,0.0,537.0,8511.0
13292.0,4772.0,0.0,538.0,8520.0
13297.0,4781.0,0.0,539.0,8516.0
13299.0,4772.0,0.0,540.0,8527.0
13301.0,4776.0,0.0,541.0,8525.0
13303.0,4777.0,0.0,542.0,8526.0
13307.0,4774.0,0.0,543.0,8533.0
13309.0,4776.0,0.0,544.0,8533.0
13314.0,4779.0,0.0,545.0,8535.0
13314.0,4773.0,0.0,546.0,8541.0
13314.0,4771.0,0.0,547.0,8543.0
13316.0,4766.0,0.0,548.0,8550.0
13317.0,4771.0,0.0,549.0,8546.0
13318.0,4771.0,0.0,550.0,8547.0
13321.0,4773.0,0.0,551.0,8548.0
13322.0,4772.0,0.0,552.0,8550.0
13323.0,4772.0,0.0,553.0,8551.0
13346.0,4793.0,0.0,554.0,8553.0
13349.0,4798.0,0.0,555.0,8551.0
13348.0,4794.0,0.0,556.0,8554.0
13347.0,4791.0,0.0,557.0,8556.0
13353.0,4793.0,0.0,558.0,8560.0
13353.0,4791.0,0.0,559.0,8562.0
13354.0,4790.0,0.0,560.0,8564.0
13355.0,4784.0,0.0,561.0,8571.0
13355.0,4785.0,0.0,562.0,8570.0
13355.0,4782.0,0.0,563.0,8573.0
13357.0,4780.0,0.0,564.0,8577.0
13357.0,4781.0,0.0,565.0,8576.0
13358.0,4781.0,0.0,566.0,8577.0
13358.0,4778.0,0.0,567.0,8580.0
13361.0,4777.0,0.0,568.0,8584.0
13362.0,4774.0,0.0,569.0,8588.0
13363.0,4779.0,0.0,570.0,8584.0
13367.0,4785.0,0.0,571.0,8582.0
13369.0,4786.0,0.0,572.0,8583.0
13370.0,4790.0,0.0,573.0,8580.0
13374.0,4790.0,0.0,574.0,8584.0
13377.0,4793.0,0.0,575.0,8584.0
13378.0,4789.0,0.0,576.0,8589.0
13380.0,4789.0,0.0,577.0,8591.0
13397.0,4805.0,0.0,578.0,8592.0
13397.0,4805.0,0.0,579.0,8592.0
13399.0,4803.0,0.0,580.0,8596.0
13399.0,4805.0,0.0,581.0,8594.0
13402.0,4805.0,0.0,582.0,8597.0
13405.0,4811.0,0.0,583.0,8594.0
13404.0,4808.0,0.0,584.0,8596.0
13403.0,4812.0,0.0,585.0,8591.0
13403.0,4807.0,0.0,586.0,8596.0
13404.0,4808.0,0.0,587.0,8596.0
13403.0,4805.0,0.0,588.0,8598.0
