"total size","ECM","necrosis","tick","fiber"
12596.0,4737.0,0.0,121.0,7859.0
12617.0,4758.0,0.0,122.0,7859.0
12616.0,4755.0,0.0,123.0,7861.0
12615.0,4753.0,0.0,124.0,7862.0
12615.0,4753.0,0.0,125.0,7862.0
12615.0,4753.0,0.0,126.0,7862.0
12615.0,4750.0,0.0,127.0,7865.0
12615.0,4747.0,0.0,128.0,7868.0
12615.0,4745.0,0.0,129.0,7870.0
12615.0,4744.0,0.0,130.0,7871.0
12615.0,4743.0,0.0,131.0,7872.0
12615.0,4741.0,0.0,132.0,7874.0
12615.0,4738.0,0.0,133.0,7877.0
12614.0,4732.0,0.0,134.0,7882.0
12614.0,4728.0,0.0,135.0,7886.0
12613.0,4723.0,0.0,136.0,7890.0
12612.0,4715.0,0.0,137.0,7897.0
12611.0,4711.0,0.0,138.0,7900.0
12611.0,4709.0,0.0,139.0,7902.0
12610.0,4707.0,0.0,140.0,7903.0
12610.0,4705.0,0.0,141.0,7905.0
12610.0,4702.0,0.0,142.0,7908.0
12610.0,4699.0,0.0,143.0,7911.0
12610.0,4696.0,0.0,144.0,7914.0
12610.0,4692.0,0.0,145.0,7918.0
12625.0,4702.0,0.0,146.0,7923.0
12625.0,4697.0,0.0,147.0,7928.0
12625.0,4694.0,0.0,148.0,7931.0
12625.0,4689.0,0.0,149.0,7936.0
12625.0,4686.0,0.0,150.0,7939.0
12625.0,4680.0,0.0,151.0,7945.0
12625.0,4677.0,0.0,152.0,7948.0
12625.0,4675.0,0.0,153.0,7950.0
12625.0,4671.0,0.0,154.0,7954.0
12625.0,4667.0,0.0,155.0,7958.0
12625.0,4660.0,0.0,156.0,7965.0
12625.0,4652.0,0.0,157.0,7973.0
12625.0,4648.0,0.0,158.0,7977.0
12625.0,4646.0,0.0,159.0,7979.0
12625.0,4641.0,0.0,160.0,7984.0
12626.0,4639.0,0.0,161.0,7987.0
12627.0,4637.0,0.0,162.0,7990.0
12627.0,4635.0,0.0,163.0,7992.0
12627.0,4630.0,0.0,164.0,7997.0
12627.0,4627.0,0.0,165.0,8000.0
12627.0,4621.0,0.0,166.0,8006.0
12627.0,4614.0,0.0,167.0,8013.0
12628.0,4611.0,0.0,168.0,8017.0
12628.0,4609.0,0.0,169.0,8019.0
12646.0,4621.0,0.0,170.0,8025.0
12647.0,4613.0,0.0,171.0,8034.0
12647.0,4606.0,0.0,172.0,8041.0
12647.0,4600.0,0.0,173.0,8047.0
12648.0,4593.0,0.0,174.0,8055.0
12648.0,4588.0,0.0,175.0,8060.0
12648.0,4583.0,0.0,176.0,8065.0
12648.0,4579.0,0.0,177.0,8069.0
12649.0,4576.0,0.0,178.0,8073.0
12648.0,4571.0,0.0,179.0,8077.0
12648.0,4566.0,0.0,180.0,8082.0
12648.0,4563.0,0.0,181.0,8085.0
12650.0,4561.0,0.0,182.0,8089.0
12651.0,4557.0,0.0,183.0,8094.0
12650.0,4554.0,0.0,184.0,8096.0
12650.0,4549.0,0.0,185.0,8101.0
12651.0,4541.0,0.0,186.0,8110.0
12651.0,4536.0,0.0,187.0,8115.0
12651.0,4532.0,0.0,188.0,8119.0
12651.0,4529.0,0.0,189.0,8122.0
12651.0,4528.0,0.0,190.0,8123.0
12653.0,4516.0,0.0,191.0,8137.0
12654.0,4512.0,0.0,192.0,8142.0
12654.0,4502.0,0.0,193.0,8152.0
12670.0,4510.0,0.0,194.0,8160.0
12671.0,4508.0,0.0,195.0,8163.0
12671.0,4505.0,0.0,196.0,8166.0
12671.0,4504.0,0.0,197.0,8167.0
12672.0,4499.0,0.0,198.0,8173.0
12673.0,4492.0,0.0,199.0,8181.0
12675.0,4491.0,0.0,200.0,8184.0
12677.0,4480.0,0.0,201.0,8197.0
12677.0,4477.0,0.0,202.0,8200.0
12679.0,4475.0,0.0,203.0,8204.0
12681.0,4468.0,0.0,204.0,8213.0
12683.0,4466.0,0.0,205.0,8217.0
12683.0,4459.0,0.0,206.0,8224.0
12683.0,4455.0,0.0,207.0,8228.0
12684.0,4447.0,0.0,208.0,8237.0
12686.0,4435.0,0.0,209.0,8251.0
12684.0,4433.0,0.0,210.0,8251.0
12685.0,4429.0,0.0,211.0,8256.0
12688.0,4423.0,0.0,212.0,8265.0
12689.0,4415.0,0.0,213.0,8274.0
12689.0,4406.0,0.0,214.0,8283.0
12691.0,4400.0,0.0,215.0,8291.0
12692.0,4396.0,0.0,216.0,8296.0
12695.0,4397.0,0.0,217.0,8298.0
12757.0,4456.0,0.0,218.0,8301.0
12750.0,4444.0,0.0,219.0,8306.0
12753.0,4441.0,0.0,220.0,8312.0
12754.0,4441.0,0.0,221.0,8313.0
12755.0,4436.0,0.0,222.0,8319.0
12755.0,4430.0,0.0,223.0,8325.0
12757.0,4429.0,0.0,224.0,8328.0
12757.0,4418.0,0.0,225.0,8339.0
12758.0,4413.0,0.0,226.0,8345.0
12757.0,4405.0,0.0,227.0,8352.0
12758.0,4401.0,0.0,228.0,8357.0
12762.0,4402.0,0.0,229.0,8360.0
12767.0,4401.0,0.0,230.0,8366.0
12767.0,4396.0,0.0,231.0,8371.0
12773.0,4398.0,0.0,232.0,8375.0
12774.0,4392.0,0.0,233.0,8382.0
12776.0,4388.0,0.0,234.0,8388.0
12776.0,4386.0,0.0,235.0,8390.0
12776.0,4387.0,0.0,236.0,8389.0
12776.0,4387.0,0.0,237.0,8389.0
12779.0,4383.0,0.0,238.0,8396.0
12780.0,4388.0,0.0,239.0,8392.0
12781.0,4387.0,0.0,240.0,8394.0
12783.0,4382.0,0.0,241.0,8401.0
12856.0,4455.0,0.0,242.0,8401.0
12846.0,4441.0,0.0,243.0,8405.0
12849.0,4439.0,0.0,244.0,8410.0
12852.0,4440.0,0.0,245.0,8412.0
12853.0,4437.0,0.0,246.0,8416.0
12854.0,4436.0,0.0,247.0,8418.0
12859.0,4438.0,0.0,248.0,8421.0
12857.0,4430.0,0.0,249.0,8427.0
12863.0,4427.0,0.0,250.0,8436.0
12865.0,4420.0,0.0,251.0,8445.0
12867.0,4417.0,0.0,252.0,8450.0
12867.0,4414.0,0.0,253.0,8453.0
12869.0,4412.0,0.0,254.0,8457.0
12872.0,4416.0,0.0,255.0,8456.0
12877.0,4413.0,0.0,256.0,8464.0
12880.0,4408.0,0.0,257.0,8472.0
12879.0,4403.0,0.0,258.0,8476.0
12881.0,4397.0,0.0,259.0,8484.0
12884.0,4393.0,0.0,260.0,8491.0
12884.0,4394.0,0.0,261.0,8490.0
12885.0,4393.0,0.0,262.0,8492.0
12885.0,4390.0,0.0,263.0,8495.0
12890.0,4387.0,0.0,264.0,8503.0
12889.0,4390.0,0.0,265.0,8499.0
12961.0,4458.0,0.0,266.0,8503.0
12962.0,4455.0,0.0,267.0,8507.0
12963.0,4451.0,0.0,268.0,8512.0
12965.0,4447.0,0.0,269.0,8518.0
12969.0,4448.0,0.0,270.0,8521.0
12970.0,4444.0,0.0,271.0,8526.0
12971.0,4439.0,0.0,272.0,8532.0
12971.0,4435.0,0.0,273.0,8536.0
12973.0,4431.0,0.0,274.0,8542.0
12976.0,4428.0,0.0,275.0,8548.0
12977.0,4427.0,0.0,276.0,8550.0
12980.0,4424.0,0.0,277.0,8556.0
12980.0,4426.0,0.0,278.0,8554.0
12982.0,4422.0,0.0,279.0,8560.0
12983.0,4418.0,0.0,280.0,8565.0
12986.0,4416.0,0.0,281.0,8570.0
12988.0,4413.0,0.0,282.0,8575.0
12990.0,4415.0,0.0,283.0,8575.0
12990.0,4415.0,0.0,284.0,8575.0
12991.0,4414.0,0.0,285.0,8577.0
12993.0,4411.0,0.0,286.0,8582.0
12994.0,4412.0,0.0,287.0,8582.0
12995.0,4411.0,0.0,288.0,8584.0
12997.0,4409.0,0.0,289.0,8588.0
13054.0,4469.0,0.0,290.0,8585.0
13055.0,4469.0,0.0,291.0,8586.0
13055.0,4464.0,0.0,292.0,8591.0
13057.0,4464.0,0.0,293.0,8593.0
13060.0,4465.0,0.0,294.0,8595.0
13060.0,4463.0,0.0,295.0,8597.0
13062.0,4462.0,0.0,296.0,8600.0
13065.0,4459.0,0.0,297.0,8606.0
13063.0,4458.0,0.0,298.0,8605.0
13063.0,4456.0,0.0,299.0,8607.0
13066.0,4454.0,0.0,300.0,8612.0
13066.0,4459.0,0.0,301.0,8607.0
13068.0,4457.0,0.0,302.0,8611.0
13069.0,4458.0,0.0,303.0,8611.0
13071.0,4456.0,0.0,304.0,8615.0
13073.0,4456.0,0.0,305.0,8617.0
13075.0,4452.0,0.0,306.0,8623.0
13079.0,4451.0,0.0,307.0,8628.0
13080.0,4451.0,0.0,308.0,8629.0
13082.0,4446.0,0.0,309.0,8636.0
13083.0,4443.0,0.0,310.0,8640.0
13084.0,4437.0,0.0,311.0,8647.0
13086.0,4436.0,0.0,312.0,8650.0
13089.0,4432.0,0.0,313.0,8657.0
13149.0,4491.0,0.0,314.0,8658.0
13139.0,4474.0,0.0,315.0,8665.0
13142.0,4472.0,0.0,316.0,8670.0
13147.0,4474.0,0.0,317.0,8673.0
13153.0,4470.0,0.0,318.0,8683.0
13153.0,4470.0,0.0,319.0,8683.0
13154.0,4469.0,0.0,320.0,8685.0
13159.0,4473.0,0.0,321.0,8686.0
13161.0,4476.0,0.0,322.0,8685.0
13165.0,4474.0,0.0,323.0,8691.0
13167.0,4483.0,0.0,324.0,8684.0
13169.0,4480.0,0.0,325.0,8689.0
13170.0,4478.0,0.0,326.0,8692.0
13172.0,4475.0,0.0,327.0,8697.0
13171.0,4474.0,0.0,328.0,8697.0
13171.0,4472.0,0.0,329.0,8699.0
13174.0,4468.0,0.0,330.0,8706.0
13174.0,4467.0,0.0,331.0,8707.0
13175.0,4465.0,0.0,332.0,8710.0
13176.0,4462.0,0.0,333.0,8714.0
13179.0,4467.0,0.0,334.0,8712.0
13181.0,4469.0,0.0,335.0,8712.0
13184.0,4474.0,0.0,336.0,8710.0
13187.0,4477.0,0.0,337.0,8710.0
13227.0,4512.0,0.0,338.0,8715.0
13227.0,4509.0,0.0,339.0,8718.0
13228.0,4507.0,0.0,340.0,8721.0
13230.0,4507.0,0.0,341.0,8723.0
13232.0,4504.0,0.0,342.0,8728.0
13237.0,4502.0,0.0,343.0,8735.0
13242.0,4508.0,0.0,344.0,8734.0
13239.0,4502.0,0.0,345.0,8737.0
13243.0,4501.0,0.0,346.0,8742.0
13240.0,4502.0,0.0,347.0,8738.0
13242.0,4496.0,0.0,348.0,8746.0
13246.0,4505.0,0.0,349.0,8741.0
13248.0,4502.0,0.0,350.0,8746.0
13253.0,4509.0,0.0,351.0,8744.0
13255.0,4503.0,0.0,352.0,8752.0
13257.0,4500.0,0.0,353.0,8757.0
13256.0,4497.0,0.0,354.0,8759.0
13260.0,4497.0,0.0,355.0,8763.0
13263.0,4502.0,0.0,356.0,8761.0
13268.0,4502.0,0.0,357.0,8766.0
