"ccl17","ccl22","ccl3","ccl4","collagen4","collagenX","cxcl1","cxcl2","ECMprot","fgf","gcsf","hgf","ifn","igf1","il1","il10","il4","il6","il8","lactoferins","lipoxins","mcp","mmp12","mmpx","pdgf","pge2","resolvins","ros","tgf","tnf","vegf","tick","random_seed"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,693265100
0.0,0.0,13.058258449441862,13.058258449441862,0.0,0.0,12.187707886145738,12.187707886145738,10.44660675955349,5.223303379776745,0.0,99.40656138457385,4.352752816480621,10.44660675955349,25.2459663355876,0.0,0.0,6.093853943072869,13.058258449441862,0.0,0.0,1.479935957603411,0.0,5.223303379776745,5.223303379776745,0.0,0.0,1.0,5.223303379776745,13.928809012737986,0.0,2.0,693265100
0.0,0.0,22.685031571677598,23.555582134973722,0.0,0.0,22.797723851718523,22.797723851718523,28.24641179157712,14.12320589578856,0.0,190.52098490314881,3.789291416275995,28.24641179157712,46.419997515618704,0.0,0.0,14.881064179043758,23.62227366390018,4.352752816480621,0.0,1.355050610460296,0.0,14.12320589578856,14.12320589578856,0.0,0.0,0.0,14.12320589578856,24.31344041822892,0.8705505632961241,3.0,693265100
0.0,0.0,31.065624335963907,32.69403318251523,0.0,0.0,30.293178100536533,30.293178100536533,50.70644659513547,25.353223297567734,0.0,274.07327966394485,12.004275409893477,50.70644659513547,63.20401522551394,0.0,0.0,27.754078379546428,32.91083712497741,8.142044232756616,0.0,4.298257581825959,0.0,25.353223297567734,25.353223297567734,0.0,0.0,2.0,25.353223297567734,35.094888264493925,1.6284088465513231,4.0,693265100
0.0,0.0,40.97300577755714,42.39061801619879,0.0,0.0,36.818350019005386,36.818350019005386,72.000143671616,36.000071835808,0.0,350.69107177862327,27.861339985967064,72.000143671616,79.6421218274192,0.0,0.0,41.57233983300141,42.823771808413824,7.0880611932082305,0.0,9.906009387443826,0.0,36.000071835808,36.000071835808,0.0,0.0,4.0,36.000071835808,47.96288601339221,1.417612238641646,5.0,693265100
0.0,0.0,50.468432835621826,51.702535968506794,0.0,0.0,41.62829154493637,41.62829154493637,95.7606870359799,47.88034351798995,0.8705505632961241,420.94989692919836,50.37122211785218,96.63123759927602,94.97512447019045,0.8705505632961241,0.0,60.56623963144875,53.3468329252541,6.170515664424823,0.0,17.89996191352091,1.7411011265922482,47.88034351798995,47.88034351798995,0.0,0.0,6.0,47.88034351798995,63.51788151866948,2.1046536961810887,6.0,693265100
0.0,0.0,59.60523277305342,60.67958195055194,0.0,0.0,45.815588849757,45.815588849757,116.44544144604887,58.22272072302444,2.4989594098474472,485.37752366308575,75.19051606727086,118.9444008558963,110.19302308041046,2.063684128199385,0.0,80.58359205336173,65.2479847939496,5.371745887492587,0.8705505632961241,26.46768114160549,4.9979188196948945,58.22272072302444,58.22272072302444,0.0,1.7411011265922482,8.0,58.22272072302444,80.5414938710418,3.5733085873459647,7.0,693265100
0.0,0.0,67.55927910530849,69.36510495025269,0.0,0.0,48.59029231386082,48.59029231386082,136.19366717596864,68.09683358798432,3.916571648489094,544.2432298645242,105.50247202851064,140.11023882445772,123.61682020471544,3.102367225213432,0.0,100.62136116984347,76.65493673740596,9.029129224720931,1.6284088465513231,37.06203277397903,7.833143296978188,68.09683358798432,68.09683358798432,0.0,3.2568176931026462,10.0,68.09683358798432,97.97306088362274,5.722397493433279,8.0,693265100
0.0,0.0,72.74257749374436,76.05574132686748,0.0,0.0,49.26471085092386,49.26471085092386,155.12659733584155,77.56329866792078,5.150674781374058,598.0086324497237,136.24331518165584,160.2772721172156,132.88565851945307,4.006593380405173,0.0,119.80635348798656,85.909110470467,16.565819165615547,2.28816280193777,47.95928336939184,10.301349562748117,77.56329866792078,77.56329866792078,0.0,4.57632560387554,11.0,77.56329866792078,113.1481213655592,8.463838614497167,9.0,693265100
0.0,13.928809012737986,75.51379969893685,81.88027859333903,0.0,0.0,49.85182628826144,49.85182628826144,190.76078274387984,88.41598686557093,6.225023958872575,647.0970359972607,163.00477350482421,183.0569976900144,155.16992359260396,4.793767969154431,0.0,139.90752033359172,94.40940212830594,31.83239447201083,2.8625119794362877,58.52036394435033,26.378856930483135,102.34479587830891,88.41598686557093,0.0,5.725023958872575,11.0,88.41598686557093,126.51638067342685,19.555907359643733,10.0,693265100
0.0,26.925092108117294,77.9262887506859,86.9508327916051,0.0,0.0,48.621838836363274,48.621838836363274,222.6526934867422,97.86380068931247,7.160299240520638,691.796948109904,195.00748175564541,202.88790061914554,173.83860548942852,5.479043250802493,0.0,159.29587499913166,101.97862305098735,45.12272020459594,3.3625119794362877,70.9620148697488,41.24569058915857,124.78889279742974,97.86380068931247,0.0,6.725023958872575,13.0,97.86380068931247,139.92486175449127,29.64738933549847,11.0,693265100
0.0,38.23901367755565,82.63813414352013,93.1061077317214,0.0,0.0,47.55107256726616,47.55107256726616,250.4162143485308,106.08860033548757,7.9745036637963,732.5364593578067,231.57296308336058,220.1517043347714,191.97181128639434,6.075610033254124,0.0,178.0147376676383,110.46903053791821,52.33986794100626,3.79778726108435,84.99226460193536,54.188021005148244,144.32761401304322,106.08860033548757,0.0,7.5955745221687,15.0,106.08860033548757,155.09966845903054,37.561984090775375,12.0,693265100
