"ccl17","ccl22","ccl3","ccl4","collagen4","collagenX","cxcl1","cxcl2","ECMprot","fgf","gcsf","hgf","ifn","igf1","il1","il10","il4","il6","il8","lactoferins","lipoxins","mcp","mmp12","mmpx","pdgf","pge2","resolvins","ros","tgf","tnf","vegf","tick","random_seed"
1170.1293869714316,660.6885230475534,0.0,0.017278719355699277,397.32785855544574,0.0,0.0023152048124083567,0.0023152048124083567,2333.086100610027,212.73368191341032,52.41450458461522,0.8699762170377388,0.0,875.2097269668816,277.0095444858443,477.1344877566407,397.32785855544574,255.50755866075968,25.76287925431478,0.09817568527958796,58.057787776071855,77.20115100337163,310.57829064515454,248.29601785860612,212.73368191341032,1191.9835756663372,173.7269585683273,0.0,1065.000782040485,233.0623222172633,155.30878045963314,161.0,902671710
1158.8154376480043,644.8068109660219,0.0,0.015041998868139648,393.7742720599729,0.0,0.002015502853587992,0.002015502853587992,2386.2540489292355,219.14689859032669,49.11167874420856,0.797771708515511,0.0,881.1797479848348,261.88585391257345,470.82376796651425,393.7742720599729,252.32343697239716,22.15409807758395,0.08546689812212831,56.63609379525904,72.56510297757019,293.0084205143859,238.61444274403405,219.14689859032669,1181.3228161799184,169.51966347059835,0.0,1062.9429185903523,218.33121328406799,146.52130363681732,162.0,902671710
1140.782897396407,627.4987753141532,0.0,0.013094820587758632,388.06904364472905,0.0,0.0017545971445159722,0.0017545971445159722,2432.5394362878214,224.72992798095635,46.236401848373546,0.731559882263022,0.0,883.7653014550152,248.4519693251911,462.97948077751613,388.06904364472905,251.52419862281198,19.48728469294621,0.07440325630339126,54.52788673613163,67.62229040746955,277.71296017500543,230.18614207444958,224.72992798095635,1164.207130934187,163.245348663429,0.0,1055.0575904615798,205.2514576602718,138.87136073876337,163.0,902671710
1116.9014840277355,608.078502311389,0.0,0.01139970343893496,380.49070214421715,0.0,0.0015274655325161505,0.0015274655325161505,2498.0791726608054,232.20188905175615,43.73332792707204,0.6708433698815245,0.0,888.6278081748014,235.74773301238145,453.8001456255778,380.49070214421715,255.5203797185067,17.791160429599024,0.06477179668598315,51.822035329967264,62.64916729694572,263.5269379973882,222.5006599535953,232.20188905175615,1141.4721064326513,155.17158868386218,0.0,1044.7108113641177,193.65233107874323,131.77642335803125,164.0,902671710
1092.8034140268057,589.4310715828758,0.0,0.009924018250173593,373.0228221188,0.0,0.001329735979747349,0.001329735979747349,2546.4293214456247,237.83605840757153,41.554275514911176,0.6151660825384048,0.0,890.2492144488541,224.45233044514026,445.5479050693851,373.0228221188,260.26919229266343,16.855193319875212,0.05638712409068466,48.595904300839145,57.612923426534735,251.17728839973216,215.63594905142406,237.83605840757153,1119.0684663563998,145.5313206958442,0.0,1032.221214739337,183.36623839692015,125.59992162468419,165.0,902671710
1066.0791918953923,570.5858885682547,0.0,0.008639359677849638,364.78055382945297,0.0,0.0011576024062041783,0.0011576024062041783,2588.5205707057007,242.74088771398235,38.78674964675663,0.5641097849300957,0.0,889.0490789041742,213.54883187243374,436.1875359964961,364.78055382945297,263.95023005673414,15.750048943966563,0.04908784263979398,44.91684355286843,52.57584584906053,238.68519285939072,209.65987110867385,242.74088771398235,1094.3416614883586,134.52732827866117,0.0,1016.9956365458122,170.74825488651877,119.35241399822328,166.0,902671710
1042.8144052652397,554.1802038794578,0.0,0.007520999434069824,357.6052425273241,0.0,0.001007751426793996,0.001007751426793996,2633.8686370918585,247.88134019284578,36.3774784432981,0.5172909535922152,0.0,889.7454013563137,203.81384830454934,428.03886142743295,357.6052425273241,267.4473748297802,14.429441083624296,0.042733449061064153,41.71403514632186,47.369943093831736,227.81019204999748,204.63150320197036,247.88134019284578,1072.8157275819722,124.94779648137622,0.0,1004.6115514362261,159.53248811816718,113.91364271481092,167.0,902671710
1022.5612321593961,545.1215292121439,0.0,0.006547410293879316,351.3587712314308,0.0,8.772985722579861E-4,8.772985722579861E-4,2678.569725208495,252.35636399391726,34.280086039994146,0.4743578959572613,0.0,890.3515852592594,200.29908364568485,420.9450281912183,351.3587712314308,269.94235662428696,12.906620645449742,0.03720162815169563,38.92582848387319,42.025209350264916,223.5662573493111,205.47735806810624,252.35636399391726,1054.0763136942921,116.60832967913665,0.0,993.8305791681688,149.54881221714217,111.79056900028587,168.0,902671710
999.1841871858157,534.623843187909,0.0,0.00569985171946748,344.17980099958555,0.0,7.637327662580753E-4,7.637327662580753E-4,2726.189788281344,257.12264904799974,31.583649338548753,0.4349881085188694,0.0,890.0087484341337,196.1355735335758,412.59311126326253,344.17980099958555,272.43520544818034,11.237807350808085,0.032385898342991576,35.628003039996365,36.58945963792571,218.13059647844437,206.3878276109468,257.12264904799974,1032.5394029987565,106.7367504669693,0.0,980.962995434147,137.1554314661447,109.07177541889077,169.0,902671710
978.8332875158666,525.4850767062054,0.0,0.004962009125086797,337.93014442036656,0.0,6.648679898736745E-4,6.648679898736745E-4,2776.350966646571,262.1424917499573,29.236264849213125,0.3988858542577555,0.0,891.4513927694943,192.5096981044659,405.3223452770282,337.93014442036656,275.4728463496382,9.783079519459303,0.02819356204534233,32.757079242177106,31.85297469849702,213.39857884542465,207.35454749698985,262.1424917499573,1013.7904332610996,98.1430416231947,0.0,970.6316637295307,126.36514262834422,106.70492813512138,170.0,902671710
961.1168003446094,516.6587678344306,0.0,0.004319679838924819,332.48950236492016,0.0,5.788012031020892E-4,5.788012031020892E-4,2819.1482581647206,266.5125186418044,27.192747959749408,0.365779941131511,0.0,892.7072876082783,188.48263964391657,398.9927758521176,332.48950236492016,278.1172663474936,8.516665386436072,0.02454392131989699,30.257794912805302,27.729625066433773,208.40856766617603,207.32557547503808,266.5125186418044,997.4685070947604,90.66178354844385,0.0,961.6377170944778,116.97165060246911,104.20919261735197,171.0,902671710
942.3856103175177,507.23391854768914,0.0,0.003760499717034912,326.88259779556256,0.0,5.03875713396998E-4,5.03875713396998E-4,2856.405464403394,270.31684801412104,25.413763180521624,0.33542168494076224,0.8705505632961241,892.9300570043264,184.97688163265892,393.2214004548509,326.88259779556256,283.0310193561066,8.28473841286265,0.021366724530532077,27.21149096873738,24.140040721574245,204.06451062322716,207.30035386500813,270.31684801412104,980.6477933866876,81.53731842741745,0.0,951.1963800951888,108.79414082802589,102.03652865651968,172.0,902671710
