"apopNeutrophils","neutrophils","totalNeutrophils","m1 macs","m2 macs ","resMacs","m1ae","m1de","resMacs ODE","tick","random_seed"
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,693265100
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,693265100
1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,693265100
1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,693265100
0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,693265100
0.0,8.0,8.0,0.08333333333333333,0.0,0.9166666666666666,0.0,1.0,11.0,6.0,693265100
0.0,10.0,10.0,0.0909090909090909,0.0,1.0,0.0,1.0,11.0,7.0,693265100
1.0,12.0,13.0,0.18181818181818185,0.0,0.9090909090909091,0.0,1.0,10.0,8.0,693265100
2.0,12.0,14.0,0.22222222222222227,0.0,0.8888888888888891,0.0,1.0,8.0,9.0,693265100
4.0,13.0,17.0,0.33333333333333337,0.0,0.8888888888888891,0.0,1.0,8.0,10.0,693265100
4.0,15.0,19.0,0.4285714285714286,0.0,1.142857142857143,0.0,1.0,6.0,11.0,693265100
3.0,17.0,20.0,0.4285714285714286,0.0,0.7142857142857143,0.0,1.0,6.0,12.0,693265100
2.0,18.0,20.0,0.875,0.0,1.25,0.0,2.0,5.0,13.0,693265100
1.0,19.0,20.0,1.666666666666667,0.0,1.6666666666666667,0.0,2.0,5.0,14.0,693265100
4.0,15.0,19.0,2.7777777777777777,0.0,2.2222222222222223,0.0,2.0,5.0,15.0,693265100
7.0,14.0,21.0,2.7777777777777777,0.0,2.2222222222222223,0.0,2.0,5.0,16.0,693265100
9.0,14.0,23.0,3.125,0.0,2.25,0.0,2.0,5.0,17.0,693265100
9.0,14.0,23.0,3.666666666666667,0.0,1.6666666666666667,0.0,2.0,2.0,18.0,693265100
8.0,14.0,22.0,3.142857142857143,0.0,1.1428571428571428,0.0,2.0,2.0,19.0,693265100
11.0,10.0,21.0,5.375,0.0,1.5,0.0,3.0,2.0,20.0,693265100
9.0,10.0,19.0,5.375,0.0,1.5,0.0,3.0,2.0,21.0,693265100
6.0,11.0,17.0,6.222222222222222,0.0,1.5555555555555556,0.0,3.0,2.0,22.0,693265100
5.0,12.0,17.0,5.6000000000000005,0.0,1.4,0.0,3.0,2.0,23.0,693265100
5.0,11.0,16.0,7.1,0.0,1.5999999999999999,0.0,4.0,2.0,24.0,693265100
3.0,13.0,16.0,6.454545454545454,0.0,1.4545454545454544,0.0,4.0,2.0,25.0,693265100
3.0,14.0,17.0,7.333333333333334,0.0,1.5,0.0,5.0,2.0,26.0,693265100
2.0,16.0,18.0,9.846153846153847,0.0,1.692307692307692,0.0,6.0,2.0,27.0,693265100
4.0,14.0,18.0,9.142857142857142,0.0,1.5714285714285716,0.0,6.0,2.0,28.0,693265100
5.0,13.0,18.0,10.785714285714286,0.0,1.7142857142857142,0.0,7.0,2.0,29.0,693265100
3.0,12.0,15.0,10.066666666666665,0.0,1.5999999999999999,0.0,7.0,2.0,30.0,693265100
3.0,10.0,13.0,11.733333333333334,0.0,1.7333333333333332,0.0,8.0,2.0,31.0,693265100
1.0,9.0,10.0,12.6875,0.0,1.7499999999999998,0.0,8.0,2.0,32.0,693265100
2.0,7.0,9.0,13.25,0.0,1.7499999999999998,0.0,8.0,2.0,33.0,693265100
0.0,9.0,9.0,14.176470588235293,0.0,1.764705882352941,0.0,9.0,2.0,34.0,693265100
1.0,9.0,10.0,15.111111111111109,0.0,1.7777777777777775,0.0,9.0,2.0,35.0,693265100
2.0,10.0,12.0,15.111111111111109,0.0,1.7777777777777775,0.0,9.0,2.0,36.0,693265100
2.0,11.0,13.0,15.111111111111109,0.0,1.7777777777777775,0.0,9.0,2.0,37.0,693265100
1.0,11.0,12.0,14.31578947368421,0.0,1.6842105263157894,0.0,9.0,2.0,38.0,693265100
3.0,8.0,11.0,16.999999999999996,0.0,1.7999999999999998,0.0,10.0,2.0,39.0,693265100
